appid,genres
489830,RPG
1644960,"Simulation, Sports"
881100,"Action, Adventure, Indie, RPG, Simulation"
204300,"Action, Indie, Strategy, Free To Play"
632360,"Action, Indie"
377160,RPG
1071100,"Audio Production, Utilities"
767560,"Action, Free To Play"
1877960,"Casual, Free To Play, Indie, Strategy"
311210,"Action, Adventure"
541180,
602520,"Casual, Indie"
700030,"Action, Adventure, Massively Multiplayer, RPG, Simulation, Early Access"
244210,"Indie, Racing, Simulation, Sports"
1468810,"Action, Adventure, Indie, RPG, Simulation"
319630,"Action, Adventure"
843380,"Action, Adventure, Casual, Indie, Massively Multiplayer, Free To Play"
635260,"Massively Multiplayer, Racing, Simulation, Sports"
33930,"Action, Simulation, Strategy"
385760,
1811260,"Simulation, Sports"
269950,Simulation
42710,Action
1128810,"Casual, Strategy, Free To Play"
1245620,"Action, RPG"
774861,"Action, Adventure, Casual, Indie, Strategy"
3590,Strategy
702320,"Massively Multiplayer, RPG, Strategy, Free To Play"
282660,Utilities
1170950,"Action, Indie, Massively Multiplayer, RPG"
2123310,"Casual, Indie, Massively Multiplayer, RPG, Simulation, Strategy"
314160,Simulation
358130,"Indie, RPG, Strategy"
976730,Action
214950,Strategy
1174180,"Action, Adventure"
1985810,Action
586210,Utilities
2195250,"Simulation, Sports"
239140,"Action, RPG"
872790,
375950,"Casual, Free To Play, Indie, Simulation"
305620,"Adventure, Indie, Simulation, Strategy"
225540,"Action, Adventure"
321040,
219990,"Action, Adventure, Indie, RPG"
392160,"Action, Simulation, Strategy"
2016590,"Action, RPG, Free To Play, Early Access"
1266630,
1919590,"Simulation, Sports"
817130,"Simulation, Sports"
447020,Simulation
883860,
583950,Strategy
2139460,"Action, Adventure, RPG, Simulation, Strategy, Free To Play"
227940,"Action, Free To Play, Indie, Massively Multiplayer, Strategy"
21690,"Action, Adventure"
47410,"Massively Multiplayer, Strategy, Free To Play"
1840,"Animation & Modeling, Video Production"
1349540,"Casual, Indie, Free To Play"
200210,"Action, Adventure, Indie, Massively Multiplayer, RPG, Free To Play"
631510,Action
2492430,"Massively Multiplayer, RPG, Strategy, Free To Play"
1574360,"Adventure, Massively Multiplayer, RPG, Simulation, Strategy, Free To Play"
1942280,"Action, Casual, Indie, RPG"
1225330,"Simulation, Sports"
212910,
1097420,"Adventure, Casual, Indie, RPG, Simulation, Strategy"
1118200,"Action, Casual, Indie, Simulation"
331360,"Action, Casual, Free To Play, Indie, Sports"
2333480,"Massively Multiplayer, RPG, Strategy, Free To Play"
1254120,"Action, Massively Multiplayer, RPG, Free To Play"
80,Action
493370,
2344520,"Action, RPG"
439350,
872410,Simulation
2357570,"Action, Free To Play"
278970,
506140,"Casual, Massively Multiplayer, RPG, Simulation, Strategy, Free To Play"
2050650,"Action, Adventure"
489520,"Action, Adventure, Indie, RPG, Strategy, Free To Play"
297000,"RPG, Strategy"
685310,"Casual, Free To Play, Strategy"
2253720,"Massively Multiplayer, Simulation, Strategy, Free To Play"
268500,Strategy
774171,"Action, Casual, Indie"
2082540,"Adventure, Massively Multiplayer, RPG, Simulation, Strategy, Free To Play"
223470,
351030,"Casual, Free To Play"
1443820,
1293830,Racing
1973530,"Action, RPG, Strategy"
230190,"Indie, Simulation, Strategy"
286940,"Action, Adventure, Free To Play, Sports, Strategy"
648800,"Adventure, Indie, Simulation"
244450,"Action, Simulation, Strategy"
1022450,"Indie, Massively Multiplayer, Strategy, Free To Play, Early Access"
1997040,"Casual, Strategy, Free To Play"
1560500,"Action, Free To Play, Simulation, Strategy, Early Access"
1086940,"Adventure, RPG, Strategy"
35450,"Action, Massively Multiplayer, Simulation"
273110,"Action, Casual, Massively Multiplayer, Free To Play"
1313860,"Simulation, Sports"
337410,"Massively Multiplayer, RPG, Free To Play"
633230,Action
282440,Action
1974050,"Action, Adventure, RPG, Free To Play"
2315040,
476620,Action
1665460,"Simulation, Sports, Free To Play"
2221490,"Action, Adventure, RPG"
744900,"Action, Free To Play, Indie, Massively Multiplayer, RPG"
428180,"Adventure, Indie, Massively Multiplayer, RPG"
1279610,"Free To Play, Animation & Modeling, Utilities, Video Production"
447530,"Adventure, Indie, Simulation"
2516570,"Casual, Massively Multiplayer, RPG, Strategy, Free To Play"
1217060,"Action, Adventure, Indie, RPG"
1714320,"Casual, Indie"
365360,"Indie, RPG, Strategy"
1674170,"Action, Indie, Simulation, Early Access"
312530,"Action, Indie"
362620,"Indie, Simulation, Strategy, Early Access"
388080,"Action, Utilities"
2915660,"Adventure, Indie, RPG, Simulation, Strategy, Early Access"
557400,"Adventure, Casual, Free To Play, Indie, RPG, Simulation"
275850,"Action, Adventure"
489630,Strategy
2669320,"Simulation, Sports"
581130,"Adventure, RPG, Simulation, Strategy"
2897580,"Action, Casual, Indie, Strategy, Free To Play, Early Access"
4700,Strategy
374320,Action
262060,"Indie, RPG, Strategy"
1948800,"Casual, Indie, Strategy, Free To Play"
2808930,"Action, Adventure, Massively Multiplayer, RPG, Strategy, Free To Play"
2280,Action
601150,Action
