appid,genres
2195250,"Simulation, Sports"
239140,"Action, RPG"
872790,nan
375950,"Casual, Free-to-Play, Indie, Simulation"
305620,"Adventure, Indie, Simulation, Strategy"
225540,"Action, Adventure"
321040,nan
219990,"Action, Adventure, Indie, RPG"
392160,"Action, Simulation, Strategy"
2016590,"Action, Early Access, Free-to-Play, RPG"
1266630,nan
1919590,"Simulation, Sports"
817130,"Simulation, Sports"
447020,Simulation
883860,nan
583950,Strategy
2139460,"Action, Adventure, Free-to-Play, RPG, Simulation, Strategy"
227940,nan
21690,"Action, Adventure"
47410,"Free-to-Play, MMO, Strategy"
1840,"Design & Illustration, Media & Production"
1349540,"Casual, Free-to-Play, Indie"
200210,"Action, Adventure, Free-to-Play, Indie, MMO, RPG"
631510,Action
2492430,"Free-to-Play, MMO, RPG, Strategy"
1574360,"Adventure, Free-to-Play, MMO, RPG, Simulation, Strategy"
1942280,"Action, Casual, Indie, RPG"
1225330,"Simulation, Sports"
212910,nan
1097420,"Adventure, Casual, Indie, RPG, Simulation, Strategy"
1118200,"Action, Casual, Indie, Simulation"
331360,"Action, Casual, Free-to-Play, Indie, Sports"
2333480,"Free-to-Play, MMO, RPG, Strategy"
1254120,"Action, Free-to-Play, MMO, RPG"
80,Action
493370,nan
2344520,"Action, RPG"
439350,nan
872410,Simulation
2357570,"Action, Free-to-Play"
278970,nan
506140,"Casual, Free-to-Play, MMO, RPG, Simulation, Strategy"
2050650,"Action, Adventure"
489520,"Action, Adventure, Free-to-Play, Indie, RPG, Strategy"
297000,"RPG, Strategy"
685310,"Casual, Free-to-Play, Strategy"
2253720,"Free-to-Play, MMO, Simulation, Strategy"
268500,Strategy
774171,"Action, Casual, Indie"
2082540,"Adventure, Free-to-Play, MMO, RPG, Simulation, Strategy"
223470,nan
351030,"Casual, Free-to-Play"
1443820,nan
1293830,Racing
1973530,"Action, RPG, Strategy"
230190,"Indie, Simulation, Strategy"
286940,"Action, Adventure, Free-to-Play, Sports, Strategy"
648800,"Adventure, Indie, Simulation"
244450,"Action, Simulation, Strategy"
1022450,"Early Access, Free-to-Play, Indie, MMO, Strategy"
1997040,"Casual, Free-to-Play, Strategy"
1560500,"Action, Early Access, Free-to-Play, Simulation, Strategy"
1086940,"Adventure, RPG, Strategy"
35450,"Action, MMO, Simulation"
273110,"Action, Casual, Free-to-Play, MMO"
1313860,"Simulation, Sports"
337410,"Free-to-Play, MMO, RPG"
633230,Action
282440,Action
1974050,"Action, Adventure, Free-to-Play, RPG"
2315040,nan
476620,Action
1665460,"Free-to-Play, Simulation, Sports"
2221490,"Action, Adventure, RPG"
744900,"Action, Free-to-Play, Indie, MMO, RPG"
428180,"Adventure, Indie, MMO, RPG"
1279610,"Design & Illustration, Free-to-Play, Media & Production, Utilities"
447530,"Adventure, Indie, Simulation"
2516570,"Casual, Free-to-Play, MMO, RPG, Strategy"
1217060,"Action, Adventure, Indie, RPG"
1714320,"Casual, Indie"
