friend_id,Abfragestatus,Daten vorhanden
76561198091072703,Keine Spiele,
76561198091132565,Keine Spiele,
76561198093819877,Keine Spiele,
76561198111047698,Keine Spiele,
76561198120764178,Keine Spiele,
76561198121988261,Keine Spiele,
76561198122170815,Ja,"Counter-Strike 2,Counter-Strike: Source"
76561198122368158,Keine Spiele,
76561198130049698,Keine Spiele,
76561198130086421,Keine Spiele,
76561198141457962,Ja,"Counter-Strike 2,Counter-Strike: Source,Insurgency,Raft"
76561198147570880,Ja,"Counter-Strike 2,Counter-Strike: Source,Rust"
76561198156935443,Keine Spiele,
76561198162044453,Keine Spiele,
76561198203056992,Ja,"Counter-Strike 2,Counter-Strike: Source"
76561198203148489,Keine Spiele,
76561198204432612,Ja,Counter-Strike 2
76561198209623576,Keine Spiele,
76561198223573060,Keine Spiele,
76561198273430833,Keine Spiele,
76561198276343429,Keine Spiele,
76561198303000826,Ja,Counter-Strike 2
76561198412770154,Keine Spiele,
76561198417471189,Keine Spiele,
76561198796727006,Keine Spiele,
76561198803288679,Keine Spiele,
76561198815482894,Keine Spiele,
76561198827885610,Keine Spiele,
76561198869365096,Keine Spiele,
76561198884725248,Ja,Counter-Strike 2
76561198956927548,Keine Spiele,
76561199007935809,Keine Spiele,
76561199181913276,Keine Spiele,
76561199587973266,Ja,
76561198017289291,Keine Spiele,
76561198048579945,Ja,"Counter-Strike 2,Raft,Counter-Strike: Source"
76561198053684581,Keine Spiele,
76561198088487892,Keine Spiele,
76561198090294306,Keine Spiele,
76561198091663597,Ja,"Counter-Strike 2,Rust"
76561198091880411,Ja,"Counter-Strike 2,Rust,Insurgency,Raft"
76561198094309300,Keine Spiele,
76561198097365843,Keine Spiele,
76561198101265190,Keine Spiele,
76561198105680558,Ja,Counter-Strike 2
76561198131518867,Keine Spiele,
76561198132846762,Keine Spiele,
76561198136590890,Keine Spiele,
76561198137430625,Keine Spiele,
76561198140198270,Ja,Counter-Strike 2
76561198142190723,Keine Spiele,
76561198144417217,Keine Spiele,
76561198145656189,Keine Spiele,
76561198146493039,Keine Spiele,
76561198155935200,Keine Spiele,
76561198157257061,Keine Spiele,
76561198158315645,Ja,Counter-Strike 2
76561198160335414,Keine Spiele,
76561198163041437,Keine Spiele,
76561198164067285,Keine Spiele,
76561198164472942,Keine Spiele,
76561198166765082,Keine Spiele,
76561198194222863,Keine Spiele,
76561198217946023,Ja,"Counter-Strike 2,Insurgency"
76561198265102213,Keine Spiele,
76561198304420015,Ja,"Rust,Counter-Strike 2"
76561198328548001,Keine Spiele,
76561198367815183,Keine Spiele,
76561198451264835,Ja,Counter-Strike 2
76561198850183992,Ja,
76561199251833655,Keine Spiele,
76561198016113613,Ja,Counter-Strike 2
76561198018112376,Keine Spiele,
76561198021239586,Ja,Counter-Strike 2
76561198045759901,Ja,"Counter-Strike 2,Raft,Rust"
76561198047036095,Keine Spiele,
76561198049298330,Ja,
76561198049797786,Keine Spiele,
76561198058570556,Keine Spiele,
76561198058730168,Ja,
76561198060835471,Ja,
76561198061475007,Ja,
76561198061674386,Keine Spiele,
76561198061732081,Keine Spiele,
76561198061872368,Keine Spiele,
76561198062493589,Keine Spiele,
76561198063042852,Keine Spiele,
76561198063045577,Keine Spiele,
76561198063344527,Keine Spiele,
76561198063420120,Keine Spiele,
76561198063631662,Ja,Counter-Strike 2
76561198064254640,Keine Spiele,
76561198064480917,Ja,
76561198069839663,Keine Spiele,
76561198071521794,Ja,"Counter-Strike 2,Insurgency"
76561198074145149,Keine Spiele,
76561198076219183,Ja,Counter-Strike 2
76561198081643285,Keine Spiele,
76561198085630354,Ja,Counter-Strike 2
76561198086393568,Keine Spiele,
76561198086407604,Keine Spiele,
76561198086701275,Ja,Counter-Strike 2
76561198089953608,Keine Spiele,
76561198091339556,Ja,Counter-Strike 2
76561198092621659,Keine Spiele,
76561198096612576,Ja,
76561198097802784,Ja,
76561198098223264,Keine Spiele,
76561198099883557,Keine Spiele,
76561198099997370,Ja,
76561198100596509,Keine Spiele,
76561198101609523,Keine Spiele,
76561198101615702,Ja,
76561198102358392,Ja,Counter-Strike 2
76561198102841248,Keine Spiele,
76561198104106906,Keine Spiele,
76561198104406990,Keine Spiele,
76561198111195018,Ja,
76561198122364204,Keine Spiele,
76561198125326786,Ja,
76561198125392078,Ja,
76561198156424689,Ja,Counter-Strike 2
76561198209712952,Keine Spiele,
76561198216828639,Keine Spiele,
76561198229227136,Keine Spiele,
76561198264388065,Keine Spiele,
76561198419213881,Keine Spiele,
76561197993854522,Keine Spiele,
76561198003084234,Keine Spiele,
76561198007043524,Ja,Counter-Strike 2
76561198014776108,Keine Spiele,
76561198017548774,Ja,Rust
76561198028138047,Ja,
76561198039958048,Ja,
76561198054579739,Keine Spiele,
76561198060737868,Ja,
76561198062992432,Ja,
76561198070945204,Keine Spiele,
76561198072311224,Ja,"DayZ,Counter-Strike 2"
76561198073006126,Keine Spiele,
76561198074159689,Keine Spiele,
76561198077071664,Ja,
76561198077368595,Ja,
76561198078097109,Ja,Counter-Strike 2
76561198078230514,Keine Spiele,
76561198078311713,Keine Spiele,
76561198080900192,Keine Spiele,
76561198082756406,Ja,"Counter-Strike 2,Insurgency"
76561198084348359,Keine Spiele,
76561198085994848,Ja,"Rust,Counter-Strike 2,DayZ,Insurgency"
76561198090192078,Keine Spiele,
76561198090908663,Ja,Counter-Strike 2
76561198093449702,Ja,Rust
76561198093748952,Ja,
76561198093761163,Keine Spiele,
76561198096056419,Keine Spiele,
76561198096510972,Ja,
76561198096959884,Keine Spiele,
76561198096972061,Keine Spiele,
76561198097073404,Keine Spiele,
76561198097513222,Ja,Counter-Strike 2
76561198099487455,Keine Spiele,
76561198099620568,Keine Spiele,
76561198099738432,Keine Spiele,
76561198099980878,Keine Spiele,
76561198100044663,Keine Spiele,
76561198100294659,Ja,Counter-Strike 2
76561198101030711,Keine Spiele,
76561198101045333,Keine Spiele,
76561198101178092,Keine Spiele,
76561198101380807,Keine Spiele,
76561198101704775,Keine Spiele,
76561198101728871,Keine Spiele,
76561198101779849,Keine Spiele,
76561198101934816,Keine Spiele,
76561198102082658,Ja,
76561198102420653,Keine Spiele,
76561198102724438,Keine Spiele,
76561198103217757,Keine Spiele,
76561198103594975,Keine Spiele,
76561198103967550,Keine Spiele,
76561198104142342,Keine Spiele,
76561198104254114,Ja,Counter-Strike 2
76561198104367579,Keine Spiele,
76561198105448067,Keine Spiele,
76561198107733486,Keine Spiele,
76561198107925108,Keine Spiele,
76561198109402026,Ja,
76561198111231537,Ja,
76561198112008461,Keine Spiele,
76561198112857398,Keine Spiele,
76561198114243883,Keine Spiele,
76561198122543389,Ja,Counter-Strike 2
76561198125464736,Ja,"Counter-Strike 2,Raft"
76561198125905710,Keine Spiele,
76561198125910042,Keine Spiele,
76561198133320431,Keine Spiele,
76561198134252564,Keine Spiele,
76561198136776319,Keine Spiele,
76561198141006073,Keine Spiele,
76561198142080030,Keine Spiele,
76561198147621219,Keine Spiele,
76561198149674542,Keine Spiele,
76561198155806525,Keine Spiele,
76561198159002543,Keine Spiele,
76561198160355565,Ja,Counter-Strike 2
76561198167710104,Keine Spiele,
76561198205901284,Keine Spiele,
76561198207880152,Ja,"Counter-Strike 2,Raft"
76561198215771651,Ja,Counter-Strike 2
76561198223183804,Keine Spiele,
76561198227763652,Ja,"Counter-Strike 2,Rust,Insurgency"
76561198243760196,Keine Spiele,
76561198274874886,Ja,Counter-Strike 2
76561198278871634,Ja,Counter-Strike 2
76561198283185593,Keine Spiele,
76561198288607162,Ja,Counter-Strike 2
76561198292935004,Ja,
76561198293218633,Ja,
76561198294247252,Keine Spiele,
76561198296237701,Keine Spiele,
76561198298894678,Ja,"Counter-Strike 2,Raft,Insurgency,Rust"
76561198307737564,Keine Spiele,
76561198308007574,Keine Spiele,
76561198311772479,Keine Spiele,
76561198313203488,Keine Spiele,
76561198313492740,Ja,Counter-Strike 2
76561198318802316,Keine Spiele,
76561198319698245,Keine Spiele,
76561198324662801,Ja,
76561198328251449,Keine Spiele,
76561198334041878,Ja,"Counter-Strike 2,Rust,Raft"
76561198336201289,Keine Spiele,
76561198338681786,Ja,"Counter-Strike 2,Insurgency"
76561198340614994,Keine Spiele,
76561198347035881,Ja,Counter-Strike 2
76561198353120630,Ja,Counter-Strike 2
76561198371713029,Keine Spiele,
76561198387616665,Keine Spiele,
76561198392358475,Ja,Counter-Strike 2
76561198398296537,Keine Spiele,
76561198399301915,Keine Spiele,
76561198400497028,Keine Spiele,
76561198401311375,Ja,Counter-Strike 2
76561198402157836,Ja,
76561198403525370,Ja,Rust
76561198408221230,Keine Spiele,
76561198409384027,Keine Spiele,
76561198413710974,Ja,"Counter-Strike 2,Rust"
76561198413792233,Keine Spiele,
76561198416210552,Ja,
76561198417547115,Keine Spiele,
76561198422367401,Keine Spiele,
76561198422806162,Ja,
76561198426144627,Keine Spiele,
76561198427968446,Ja,
76561198428301915,Keine Spiele,
76561198428685855,Ja,
76561198433411579,Keine Spiele,
76561198433575986,Ja,
76561198437176961,Ja,
76561198442231201,Keine Spiele,
76561198449429694,Keine Spiele,
76561198449752193,Ja,
76561198450201436,Keine Spiele,
76561198451162404,Keine Spiele,
76561198801311694,Ja,PAYDAY 2
76561198810799304,Ja,
76561198813187415,Keine Spiele,
76561198813247119,Keine Spiele,
76561198820962089,Keine Spiele,
76561198823029843,Ja,
76561198824769410,Ja,
76561198833538517,Ja,PAYDAY 2
76561198845662925,Ja,
