steam_id,stat_build_foundationCount,stat_build_paintCount,stat_build_removeCount,stat_player_anglerFishKills,stat_player_bearKills,stat_player_birdKills,stat_player_boarKills,stat_player_botKills,stat_player_capturedAnimals,stat_player_captures_bee,stat_player_deaths,stat_player_excevations_treasure,stat_player_fireworks_launched,stat_player_hookCount,stat_player_instrumentNotes_played,stat_player_pufferKills,stat_player_ratKills,stat_player_sharkKills,stat_player_stoneBirdKills,stat_player_token_spend_tangaroa,stat_player_zipline_distance,stat_player_zipline_distanceOneGo,stat_shark_bitePlayer,stat_test_2,stat_test_3,stat_test_4,stat_test_5
76561198079672025,31.0,,34.0,8.0,14.0,10.0,5.0,11.0,,,8.0,1.0,,296.0,,6.0,34.0,19.0,,36.0,353.0,84.0,,1.0,1.0,1.0,1.0
76561198079765068,70.0,,19.0,3.0,24.0,13.0,4.0,24.0,,13.0,66.0,3.0,10.0,2073.0,,5.0,69.0,23.0,,18.0,461.0,81.0,,1.0,1.0,1.0,1.0
76561198080195561,24.0,,4.0,,,1.0,,,,,2.0,,,315.0,,,,3.0,,,,,,,,,
76561198080239300,27.0,,38.0,,,,,,,,4.0,,,342.0,,,,6.0,,,,,55.0,,,,
76561198080297243,62.0,,4.0,,,,1.0,,,,4.0,,,635.0,,,,1.0,,,,,11.0,,,,
76561198080438669,1075.0,1000.0,367.0,8.0,67.0,125.0,62.0,37.0,52.0,46.0,31.0,69.0,10.0,5415.0,329.0,60.0,93.0,157.0,53.0,30.0,2198.0,85.0,,1.0,1.0,1.0,1.0
76561198081069698,17.0,,,,,3.0,,,,,7.0,,,235.0,,,,3.0,,,,,,,,,
76561198081247249,381.0,445.0,226.0,,,22.0,,,,,8.0,,,1324.0,,,,29.0,,,,,88.0,,,,
76561198081511635,167.0,,669.0,8.0,31.0,75.0,9.0,13.0,6.0,17.0,14.0,17.0,,212.0,,9.0,32.0,75.0,1.0,24.0,318.0,56.0,,1.0,1.0,,1.0
76561198081820301,66.0,,7.0,,1.0,4.0,5.0,,,,29.0,,,714.0,,1.0,,7.0,,,,,,1.0,,,
76561198082372757,88.0,,7.0,,,1.0,1.0,,,,,,,167.0,,,,4.0,,,,,,,,,
